"행정구역","2020년06월_총인구수","2020년06월_세대수","2020년06월_세대당 인구","2020년06월_남자 인구수","2020년06월_여자 인구수","2020년06월_남여 비율"
"경상북도 김천시 구성면(4715041000)","2,865","1,638","          1.75","1,420","1,445","          0.98"
"경상북도 김천시 지례면(4715042000)","1,599","905","          1.77","801","798","          1.00"
"경상북도 김천시 부항면(4715043000)","1,278","730","          1.75","636","642","          0.99"
"경상북도 김천시 대덕면(4715044000)","2,220","1,287","          1.72","1,109","1,111","          1.00"
"경상북도 김천시 증산면(4715045000)","1,070","613","          1.75","521","549","          0.95"
"경상북도 김천시 자산동(4715051600)","6,856","3,651","          1.88","3,483","3,373","          1.03"
"경상북도 김천시 평화남산동(4715053600)","7,823","4,224","          1.85","3,843","3,980","          0.97"
"경상북도 김천시 양금동(4715056500)","4,016","2,029","          1.98","1,943","2,073","          0.94"
"경상북도 김천시 대신동(4715057500)","24,840","10,586","          2.35","12,304","12,536","          0.98"
"경상북도 김천시 대곡동(4715059500)","20,611","9,378","          2.20","10,320","10,291","          1.00"
"경상북도 김천시 지좌동(4715061000)","11,030","5,075","          2.17","5,612","5,418","          1.04"
"경상북도 김천시 율곡동(4715064000)","22,215","8,714","          2.55","11,229","10,986","          1.02"
"경상북도 안동시 (4717000000)","158,526","75,761","          2.09","78,470","80,056","          0.98"
"경상북도 안동시 풍산읍(4717025000)","6,469","3,477","          1.86","3,263","3,206","          1.02"
"경상북도 안동시 와룡면(4717031000)","4,149","2,137","          1.94","2,148","2,001","          1.07"
"경상북도 안동시 북후면(4717032000)","3,076","1,700","          1.81","1,607","1,469","          1.09"
"경상북도 안동시 서후면(4717033000)","3,601","1,936","          1.86","1,890","1,711","          1.10"
"경상북도 안동시 풍천면(4717034000)","5,273","3,104","          1.70","2,729","2,544","          1.07"
"경상북도 안동시 일직면(4717035000)","2,829","1,560","          1.81","1,374","1,455","          0.94"
"경상북도 안동시 남후면(4717036000)","1,824","1,020","          1.79","897","927","          0.97"
"경상북도 안동시 남선면(4717037000)","2,123","1,118","          1.90","1,085","1,038","          1.05"
"경상북도 안동시 임하면(4717038000)","2,913","1,745","          1.67","1,532","1,381","          1.11"
"경상북도 안동시 길안면(4717039000)","2,735","1,615","          1.69","1,375","1,360","          1.01"
"경상북도 안동시 임동면(4717040000)","1,765","1,066","          1.66","905","860","          1.05"
"경상북도 안동시 예안면(4717041000)","1,896","1,062","          1.79","973","923","          1.05"
"경상북도 안동시 도산면(4717042000)","1,652","950","          1.74","868","784","          1.11"
"경상북도 안동시 녹전면(4717043000)","1,781","974","          1.83","930","851","          1.09"
"경상북도 안동시 중구동(4717051000)","5,145","2,830","          1.82","2,511","2,634","          0.95"
"경상북도 안동시 명륜동(4717052000)","5,104","2,458","          2.08","2,473","2,631","          0.94"
"경상북도 안동시 용상동(4717055500)","22,408","10,138","          2.21","11,096","11,312","          0.98"
"경상북도 안동시 서구동(4717058500)","9,300","4,396","          2.12","4,471","4,829","          0.93"
"경상북도 안동시 태화동(4717060000)","13,507","6,516","          2.07","6,721","6,786","          0.99"
"경상북도 안동시 평화동(4717062000)","6,497","2,944","          2.21","3,164","3,333","          0.95"
"경상북도 안동시 안기동(4717063000)","6,374","2,774","          2.30","3,172","3,202","          0.99"
"경상북도 안동시 옥동(4717065000)","22,077","9,513","          2.32","10,516","11,561","          0.91"
"경상북도 안동시 송하동(4717066000)","15,643","6,692","          2.34","7,612","8,031","          0.95"
"경상북도 안동시 강남동(4717069000)","10,385","4,036","          2.57","5,158","5,227","          0.99"
"경상북도 구미시 (4719000000)","417,480","177,824","          2.35","214,220","203,260","          1.05"
"경상북도 구미시 선산읍(4719025000)","15,182","6,767","          2.24","7,538","7,644","          0.99"
"경상북도 구미시 고아읍(4719025300)","36,823","13,850","          2.66","18,711","18,112","          1.03"
"경상북도 구미시 무을면(4719031000)","1,889","1,011","          1.87","938","951","          0.99"
"경상북도 구미시 옥성면(4719032000)","1,761","938","          1.88","901","860","          1.05"
"경상북도 구미시 도개면(4719033000)","2,243","1,154","          1.94","1,146","1,097","          1.04"
"경상북도 구미시 해평면(4719034000)","4,180","2,160","          1.94","2,175","2,005","          1.08"
"경상북도 구미시 산동면(4719035000)","26,289","10,387","          2.53","13,732","12,557","          1.09"
"경상북도 구미시 장천면(4719036000)","3,220","1,613","          2.00","1,644","1,576","          1.04"
"경상북도 구미시 송정동(4719051000)","16,759","7,988","          2.10","8,301","8,458","          0.98"
"경상북도 구미시 원평1동(4719052000)","3,885","2,768","          1.40","2,144","1,741","          1.23"
"경상북도 구미시 원평2동(4719053000)","3,332","1,958","          1.70","1,716","1,616","          1.06"
"경상북도 구미시 도량동(4719055100)","30,464","11,889","          2.56","14,961","15,503","          0.97"
"경상북도 구미시 지산동(4719055500)","2,293","1,092","          2.10","1,193","1,100","          1.08"
"경상북도 구미시 선주원남동(4719056500)","47,383","18,482","          2.56","23,979","23,404","          1.02"
"경상북도 구미시 형곡1동(4719058200)","15,098","5,945","          2.54","7,471","7,627","          0.98"
"경상북도 구미시 형곡2동(4719058300)","17,556","7,120","          2.47","8,829","8,727","          1.01"
"경상북도 구미시 신평1동(4719059000)","3,342","1,913","          1.75","1,863","1,479","          1.26"
"경상북도 구미시 신평2동(4719060000)","3,302","1,548","          2.13","1,796","1,506","          1.19"
"경상북도 구미시 비산동(4719061000)","6,368","2,788","          2.28","3,447","2,921","          1.18"
"경상북도 구미시 공단1동(4719062100)","6,867","2,617","          2.62","3,524","3,343","          1.05"
"경상북도 구미시 공단2동(4719062200)","4,509","2,149","          2.10","2,478","2,031","          1.22"
"경상북도 구미시 광평동(4719063000)","4,535","2,126","          2.13","2,414","2,121","          1.14"
"경상북도 구미시 상모사곡동(4719064500)","28,916","11,798","          2.45","15,070","13,846","          1.09"
