"행정구역","2020년06월_총인구수","2020년06월_세대수","2020년06월_세대당 인구","2020년06월_남자 인구수","2020년06월_여자 인구수","2020년06월_남여 비율"
"서울특별시 노원구 상계5동(1135067000)","24,893","10,925","          2.28","12,135","12,758","          0.95"
"서울특별시 노원구 상계6.7동(1135069500)","34,004","13,926","          2.44","15,801","18,203","          0.87"
"서울특별시 노원구 상계8동(1135070000)","23,455","9,291","          2.52","11,294","12,161","          0.93"
"서울특별시 노원구 상계9동(1135071000)","21,530","8,462","          2.54","10,253","11,277","          0.91"
"서울특별시 노원구 상계10동(1135072000)","16,342","6,607","          2.47","7,513","8,829","          0.85"
"서울특별시 은평구 (1138000000)","479,524","210,664","          2.28","230,640","248,884","          0.93"
"서울특별시 은평구 녹번동(1138051000)","37,680","17,255","          2.18","18,017","19,663","          0.92"
"서울특별시 은평구 불광제1동(1138052000)","40,123","17,948","          2.24","19,015","21,108","          0.90"
"서울특별시 은평구 불광제2동(1138053000)","28,764","13,887","          2.07","14,010","14,754","          0.95"
"서울특별시 은평구 갈현제1동(1138055100)","23,720","11,239","          2.11","11,559","12,161","          0.95"
"서울특별시 은평구 갈현제2동(1138055200)","29,334","12,617","          2.32","13,961","15,373","          0.91"
"서울특별시 은평구 구산동(1138056000)","33,182","13,329","          2.49","16,522","16,660","          0.99"
"서울특별시 은평구 대조동(1138057000)","27,368","14,112","          1.94","12,808","14,560","          0.88"
"서울특별시 은평구 응암제1동(1138058000)","28,210","12,767","          2.21","13,443","14,767","          0.91"
"서울특별시 은평구 응암제2동(1138059000)","27,398","10,843","          2.53","13,333","14,065","          0.95"
"서울특별시 은평구 응암제3동(1138060000)","25,435","12,698","          2.00","12,448","12,987","          0.96"
"서울특별시 은평구 역촌동(1138062500)","47,308","20,795","          2.27","22,427","24,881","          0.90"
"서울특별시 은평구 신사제1동(1138063100)","27,907","11,794","          2.37","13,511","14,396","          0.94"
"서울특별시 은평구 신사제2동(1138063200)","21,250","9,101","          2.33","10,606","10,644","          1.00"
"서울특별시 은평구 증산동(1138064000)","15,678","6,893","          2.27","7,682","7,996","          0.96"
"서울특별시 은평구 수색동(1138065000)","8,657","3,770","          2.30","4,320","4,337","          1.00"
"서울특별시 은평구 진관동(1138069000)","57,510","21,616","          2.66","26,978","30,532","          0.88"
"서울특별시 서대문구 (1141000000)","312,720","143,323","          2.18","149,920","162,800","          0.92"
"서울특별시 서대문구 천연동(1141052000)","18,192","8,164","          2.23","8,658","9,534","          0.91"
"서울특별시 서대문구 북아현동(1141055500)","17,019","7,542","          2.26","8,120","8,899","          0.91"
"서울특별시 서대문구 충현동(1141056500)","17,859","9,183","          1.94","8,583","9,276","          0.93"
"서울특별시 서대문구 신촌동(1141058500)","19,016","12,893","          1.47","8,493","10,523","          0.81"
"서울특별시 서대문구 연희동(1141061500)","37,764","19,517","          1.93","18,261","19,503","          0.94"
"서울특별시 서대문구 홍제제1동(1141062000)","24,525","10,391","          2.36","11,543","12,982","          0.89"
"서울특별시 서대문구 홍제제3동(1141064000)","15,973","7,103","          2.25","7,780","8,193","          0.95"
"서울특별시 서대문구 홍제제2동(1141065500)","14,403","5,898","          2.44","6,858","7,545","          0.91"
"서울특별시 서대문구 홍은제1동(1141066000)","23,002","9,592","          2.40","11,131","11,871","          0.94"
"서울특별시 서대문구 홍은제2동(1141068500)","27,252","12,274","          2.22","13,197","14,055","          0.94"
"서울특별시 서대문구 남가좌제1동(1141069000)","16,091","5,928","          2.71","7,767","8,324","          0.93"
"서울특별시 서대문구 남가좌제2동(1141070000)","29,895","13,099","          2.28","14,423","15,472","          0.93"
"서울특별시 서대문구 북가좌제1동(1141071000)","18,668","6,987","          2.67","9,028","9,640","          0.94"
"서울특별시 서대문구 북가좌제2동(1141072000)","33,061","14,752","          2.24","16,078","16,983","          0.95"
"서울특별시 마포구 (1144000000)","374,390","177,544","          2.11","176,664","197,726","          0.89"
"서울특별시 마포구 아현동(1144055500)","24,890","10,247","          2.43","11,663","13,227","          0.88"
"서울특별시 마포구 공덕동(1144056500)","39,362","19,099","          2.06","18,630","20,732","          0.90"
"서울특별시 마포구 도화동(1144058500)","22,069","9,570","          2.31","10,561","11,508","          0.92"
"서울특별시 마포구 용강동(1144059000)","21,817","9,197","          2.37","10,319","11,498","          0.90"
"서울특별시 마포구 대흥동(1144060000)","14,109","8,216","          1.72","6,863","7,246","          0.95"
"서울특별시 마포구 염리동(1144061000)","12,233","5,658","          2.16","5,920","6,313","          0.94"
"서울특별시 마포구 신수동(1144063000)","23,332","10,214","          2.28","11,353","11,979","          0.95"
"서울특별시 마포구 서강동(1144065500)","25,070","11,696","          2.14","11,919","13,151","          0.91"
"서울특별시 마포구 서교동(1144066000)","24,647","14,808","          1.66","11,286","13,361","          0.84"
"서울특별시 마포구 합정동(1144068000)","18,474","9,691","          1.91","8,572","9,902","          0.87"
"서울특별시 마포구 망원제1동(1144069000)","21,094","10,586","          1.99","9,907","11,187","          0.89"
"서울특별시 마포구 망원제2동(1144070000)","19,113","8,467","          2.26","9,056","10,057","          0.90"
"서울특별시 마포구 연남동(1144071000)","15,769","8,818","          1.79","7,403","8,366","          0.88"
"서울특별시 마포구 성산제1동(1144072000)","19,618","9,448","          2.08","9,245","10,373","          0.89"
"서울특별시 마포구 성산제2동(1144073000)","40,967","19,020","          2.15","18,764","22,203","          0.85"
"서울특별시 마포구 상암동(1144074000)","31,826","12,809","          2.48","15,203","16,623","          0.91"
"서울특별시 양천구 (1147000000)","457,953","179,677","          2.55","224,908","233,045","          0.97"
"서울특별시 양천구 목1동(1147051000)","31,871","10,568","          3.02","15,300","16,571","          0.92"
"서울특별시 양천구 목2동(1147052000)","30,911","13,225","          2.34","15,043","15,868","          0.95"
"서울특별시 양천구 목3동(1147053000)","22,718","10,042","          2.26","10,894","11,824","          0.92"
"서울특별시 양천구 목4동(1147054000)","26,279","10,118","          2.60","12,867","13,412","          0.96"
"서울특별시 양천구 목5동(1147055000)","42,580","13,572","          3.14","21,091","21,489","          0.98"
"서울특별시 양천구 신월1동(1147056000)","21,112","10,130","          2.08","10,832","10,280","          1.05"
"서울특별시 양천구 신월2동(1147057000)","21,489","8,506","          2.53","10,551","10,938","          0.96"
"서울특별시 양천구 신월3동(1147058000)","16,115","8,136","          1.98","8,512","7,603","          1.12"
"서울특별시 양천구 신월4동(1147059000)","18,563","6,917","          2.68","9,127","9,436","          0.97"
"서울특별시 양천구 신월5동(1147060000)","15,233","6,453","          2.36","7,570","7,663","          0.99"
"서울특별시 양천구 신월6동(1147061000)","12,446","4,723","          2.64","6,152","6,294","          0.98"
"서울특별시 양천구 신월7동(1147061100)","20,890","9,225","          2.26","10,259","10,631","          0.97"
"서울특별시 양천구 신정1동(1147062000)","21,066","7,206","          2.92","10,290","10,776","          0.95"
"서울특별시 양천구 신정2동(1147063000)","20,225","7,123","          2.84","9,906","10,319","          0.96"
"서울특별시 양천구 신정3동(1147064000)","47,073","17,913","          2.63","22,956","24,117","          0.95"
"서울특별시 양천구 신정4동(1147065000)","34,029","16,031","          2.12","16,680","17,349","          0.96"
"서울특별시 양천구 신정6동(1147067000)","25,190","8,222","          3.06","12,267","12,923","          0.95"
"서울특별시 양천구 신정7동(1147068000)","30,163","11,567","          2.61","14,611","15,552","          0.94"
"서울특별시 강서구 (1150000000)","586,936","265,252","          2.21","283,697","303,239","          0.94"
"서울특별시 강서구 염창동(1150051000)","42,129","15,757","          2.67","20,537","21,592","          0.95"
"서울특별시 강서구 등촌제1동(1150052000)","23,562","12,463","          1.89","11,097","12,465","          0.89"
"서울특별시 강서구 등촌제2동(1150053000)","21,447","8,762","          2.45","10,525","10,922","          0.96"
"서울특별시 강서구 등촌제3동(1150053500)","32,005","14,985","          2.14","15,280","16,725","          0.91"
"서울특별시 강서구 화곡제1동(1150054000)","53,059","26,704","          1.99","25,837","27,222","          0.95"
"서울특별시 강서구 화곡제2동(1150055000)","18,806","8,231","          2.28","9,155","9,651","          0.95"
"서울특별시 강서구 화곡제3동(1150056000)","22,141","9,455","          2.34","10,644","11,497","          0.93"
"서울특별시 강서구 화곡제4동(1150057000)","21,409","9,695","          2.21","10,484","10,925","          0.96"
"서울특별시 강서구 화곡본동(1150059000)","35,116","16,679","          2.11","17,149","17,967","          0.95"
"서울특별시 강서구 화곡제6동(1150059100)","25,203","12,164","          2.07","12,350","12,853","          0.96"
"서울특별시 강서구 화곡제8동(1150059300)","25,653","11,784","          2.18","12,330","13,323","          0.93"
"서울특별시 강서구 가양제1동(1150060300)","33,839","19,497","          1.74","15,653","18,186","          0.86"
"서울특별시 강서구 가양제2동(1150060400)","14,870","8,112","          1.83","7,055","7,815","          0.90"
"서울특별시 강서구 가양제3동(1150060500)","15,864","7,929","          2.00","7,436","8,428","          0.88"
"서울특별시 강서구 발산제1동(1150061100)","38,137","13,646","          2.79","18,103","20,034","          0.90"
"서울특별시 강서구 우장산동(1150061500)","44,118","16,138","          2.73","21,147","22,971","          0.92"
"서울특별시 강서구 공항동(1150062000)","27,163","12,780","          2.13","13,792","13,371","          1.03"
"서울특별시 강서구 방화제1동(1150063000)","45,001","17,515","          2.57","21,930","23,071","          0.95"
"서울특별시 강서구 방화제2동(1150064000)","23,437","11,628","          2.02","11,569","11,868","          0.97"
"서울특별시 강서구 방화제3동(1150064100)","23,977","11,328","          2.12","11,624","12,353","          0.94"
"서울특별시 구로구 (1153000000)","405,075","178,367","          2.27","200,098","204,977","          0.98"
"서울특별시 구로구 신도림동(1153051000)","36,370","13,425","          2.71","17,790","18,580","          0.96"
"서울특별시 구로구 구로제1동(1153052000)","21,452","8,346","          2.57","10,543","10,909","          0.97"
"서울특별시 구로구 구로제2동(1153053000)","24,832","12,704","          1.95","12,488","12,344","          1.01"
"서울특별시 구로구 구로제3동(1153054000)","24,037","13,178","          1.82","12,262","11,775","          1.04"
"서울특별시 구로구 구로제4동(1153055000)","20,685","10,626","          1.95","10,061","10,624","          0.95"
"서울특별시 구로구 구로제5동(1153056000)","29,732","14,646","          2.03","14,367","15,365","          0.94"
"서울특별시 구로구 가리봉동(1153059500)","9,373","5,971","          1.57","5,078","4,295","          1.18"
"서울특별시 구로구 고척제1동(1153072000)","23,508","9,596","          2.45","11,738","11,770","          1.00"
"서울특별시 구로구 고척제2동(1153073000)","27,815","11,612","          2.40","13,795","14,020","          0.98"
"서울특별시 구로구 개봉제1동(1153074000)","31,996","13,849","          2.31","16,031","15,965","          1.00"
"서울특별시 구로구 개봉제2동(1153075000)","32,058","12,580","          2.55","15,675","16,383","          0.96"
"서울특별시 구로구 개봉제3동(1153076000)","21,413","8,911","          2.40","10,488","10,925","          0.96"
"서울특별시 구로구 오류제1동(1153077000)","22,698","11,610","          1.96","11,128","11,570","          0.96"
"서울특별시 구로구 오류제2동(1153078000)","39,483","15,550","          2.54","19,083","20,400","          0.94"
"서울특별시 구로구 수궁동(1153079000)","24,125","9,899","          2.44","11,928","12,197","          0.98"
"서울특별시 구로구 항동(1153080000)","15,498","5,864","          2.64","7,643","7,855","          0.97"
"서울특별시 금천구 (1154500000)","232,250","112,570","          2.06","117,762","114,488","          1.03"
"서울특별시 금천구 가산동(1154551000)","21,574","14,456","          1.49","11,917","9,657","          1.23"
"서울특별시 금천구 독산제1동(1154561000)","42,453","21,047","          2.02","21,930","20,523","          1.07"
"서울특별시 금천구 독산제2동(1154562000)","19,158","9,304","          2.06","9,706","9,452","          1.03"
"서울특별시 금천구 독산제3동(1154563000)","24,823","12,455","          1.99","12,510","12,313","          1.02"
"서울특별시 금천구 독산제4동(1154564000)","15,801","7,665","          2.06","7,942","7,859","          1.01"
"서울특별시 금천구 시흥제1동(1154567000)","33,989","15,972","          2.13","17,022","16,967","          1.00"
"서울특별시 금천구 시흥제2동(1154568000)","22,194","8,424","          2.63","10,765","11,429","          0.94"
"서울특별시 금천구 시흥제3동(1154569000)","11,290","4,757","          2.37","5,645","5,645","          1.00"
"서울특별시 금천구 시흥제4동(1154570000)","21,074","9,117","          2.31","10,442","10,632","          0.98"
"서울특별시 금천구 시흥제5동(1154571000)","19,894","9,373","          2.12","9,883","10,011","          0.99"
"서울특별시 영등포구 (1156000000)","373,349","179,787","          2.08","184,905","188,444","          0.98"
"서울특별시 영등포구 영등포본동(1156051500)","21,636","10,228","          2.12","11,071","10,565","          1.05"
"서울특별시 영등포구 영등포동(1156053500)","27,056","18,003","          1.50","14,647","12,409","          1.18"
"서울특별시 영등포구 여의동(1156054000)","34,314","13,729","          2.50","16,139","18,175","          0.89"
"서울특별시 영등포구 당산제1동(1156055000)","20,831","10,721","          1.94","10,253","10,578","          0.97"
"서울특별시 영등포구 당산제2동(1156056000)","36,812","18,049","          2.04","17,249","19,563","          0.88"
"서울특별시 영등포구 도림동(1156058500)","18,461","9,384","          1.97","9,297","9,164","          1.01"
"서울특별시 영등포구 문래동(1156060500)","32,518","13,038","          2.49","16,007","16,511","          0.97"
"서울특별시 영등포구 양평제1동(1156061000)","17,677","9,088","          1.95","8,718","8,959","          0.97"
"서울특별시 영등포구 양평제2동(1156062000)","22,412","10,126","          2.21","11,148","11,264","          0.99"
"서울특별시 영등포구 신길제1동(1156063000)","17,581","10,364","          1.70","8,932","8,649","          1.03"
"서울특별시 영등포구 신길제3동(1156065000)","17,120","7,650","          2.24","8,460","8,660","          0.98"
"서울특별시 영등포구 신길제4동(1156066000)","8,887","4,327","          2.05","4,468","4,419","          1.01"
"서울특별시 영등포구 신길제5동(1156067000)","11,179","4,937","          2.26","5,413","5,766","          0.94"
"서울특별시 영등포구 신길제6동(1156068000)","18,005","8,565","          2.10","8,809","9,196","          0.96"
"서울특별시 영등포구 신길제7동(1156069000)","20,411","7,881","          2.59","10,184","10,227","          1.00"
"서울특별시 영등포구 대림제1동(1156070000)","12,718","6,379","          1.99","6,326","6,392","          0.99"
"서울특별시 영등포구 대림제2동(1156071000)","12,443","6,865","          1.81","6,082","6,361","          0.96"
"서울특별시 영등포구 대림제3동(1156072000)","23,288","10,453","          2.23","11,702","11,586","          1.01"
"서울특별시 동작구 (1159000000)","395,165","183,537","          2.15","191,211","203,954","          0.94"
"서울특별시 동작구 노량진제1동(1159051000)","32,291","15,596","          2.07","16,057","16,234","          0.99"
"서울특별시 동작구 노량진제2동(1159052000)","12,662","7,262","          1.74","6,521","6,141","          1.06"
"서울특별시 동작구 상도제1동(1159053000)","45,673","21,593","          2.12","22,148","23,525","          0.94"
"서울특별시 동작구 상도제2동(1159054000)","28,502","12,775","          2.23","13,727","14,775","          0.93"
"서울특별시 동작구 상도제3동(1159055000)","25,380","12,046","          2.11","12,154","13,226","          0.92"
"서울특별시 동작구 상도제4동(1159056000)","29,294","13,712","          2.14","14,237","15,057","          0.95"
"서울특별시 동작구 흑석동(1159060500)","32,703","14,397","          2.27","15,936","16,767","          0.95"
"서울특별시 동작구 사당제1동(1159062000)","23,275","13,246","          1.76","11,037","12,238","          0.90"
"서울특별시 동작구 사당제2동(1159063000)","27,594","11,944","          2.31","13,281","14,313","          0.93"
"서울특별시 동작구 사당제3동(1159064000)","25,305","10,541","          2.40","12,272","13,033","          0.94"
"서울특별시 동작구 사당제4동(1159065000)","14,624","7,153","          2.04","6,990","7,634","          0.92"
"서울특별시 동작구 사당제5동(1159065100)","14,548","6,503","          2.24","7,058","7,490","          0.94"
"서울특별시 동작구 대방동(1159066000)","39,260","17,229","          2.28","18,631","20,629","          0.90"
"서울특별시 동작구 신대방제1동(1159067000)","23,794","10,116","          2.35","11,482","12,312","          0.93"
"서울특별시 동작구 신대방제2동(1159068000)","20,260","9,424","          2.15","9,680","10,580","          0.91"
"서울특별시 관악구 (1162000000)","499,740","273,715","          1.83","250,829","248,911","          1.01"
"서울특별시 관악구 보라매동(1162052500)","24,848","12,466","          1.99","12,168","12,680","          0.96"
"서울특별시 관악구 청림동(1162054500)","15,876","6,566","          2.42","7,763","8,113","          0.96"
"서울특별시 관악구 성현동(1162056500)","30,510","12,492","          2.44","14,772","15,738","          0.94"
"서울특별시 관악구 행운동(1162057500)","29,690","17,453","          1.70","14,407","15,283","          0.94"
"서울특별시 관악구 낙성대동(1162058500)","17,153","11,105","          1.54","8,641","8,512","          1.02"
"서울특별시 관악구 청룡동(1162059500)","34,470","22,094","          1.56","16,558","17,912","          0.92"
"서울특별시 관악구 은천동(1162060500)","34,353","16,075","          2.14","16,827","17,526","          0.96"
"서울특별시 관악구 중앙동(1162061500)","15,617","9,724","          1.61","7,472","8,145","          0.92"
"서울특별시 관악구 인헌동(1162062500)","26,565","14,245","          1.86","12,999","13,566","          0.96"
"서울특별시 관악구 남현동(1162063000)","18,601","9,478","          1.96","8,979","9,622","          0.93"
"서울특별시 관악구 서원동(1162064500)","23,214","14,209","          1.63","11,957","11,257","          1.06"
"서울특별시 관악구 신원동(1162065500)","18,487","10,793","          1.71","9,243","9,244","          1.00"
"서울특별시 관악구 서림동(1162066500)","23,845","14,453","          1.65","13,111","10,734","          1.22"
"서울특별시 관악구 신사동(1162068500)","22,999","13,607","          1.69","11,530","11,469","          1.01"
"서울특별시 관악구 신림동(1162069500)","21,924","17,212","          1.27","11,379","10,545","          1.08"
"서울특별시 관악구 난향동(1162071500)","16,034","6,434","          2.49","7,886","8,148","          0.97"
"서울특별시 관악구 조원동(1162072500)","17,596","10,541","          1.67","8,918","8,678","          1.03"
"서울특별시 관악구 대학동(1162073500)","23,769","16,191","          1.47","14,346","9,423","          1.52"
"서울특별시 관악구 삼성동(1162074500)","24,676","11,429","          2.16","12,368","12,308","          1.00"
"서울특별시 관악구 미성동(1162076500)","31,643","14,177","          2.23","15,500","16,143","          0.96"
"서울특별시 관악구 난곡동(1162077500)","27,870","12,971","          2.15","14,005","13,865","          1.01"
"서울특별시 서초구 (1165000000)","428,919","173,998","          2.47","205,037","223,882","          0.92"
"서울특별시 서초구 서초1동(1165051000)","21,185","9,345","          2.27","10,212","10,973","          0.93"
"서울특별시 서초구 서초2동(1165052000)","18,699","8,575","          2.18","8,869","9,830","          0.90"
"서울특별시 서초구 서초3동(1165053000)","30,822","13,880","          2.22","14,973","15,849","          0.94"
"서울특별시 서초구 서초4동(1165053100)","31,724","11,060","          2.87","15,430","16,294","          0.95"
"서울특별시 서초구 잠원동(1165054000)","33,588","13,667","          2.46","15,956","17,632","          0.90"
"서울특별시 서초구 반포본동(1165055000)","12,039","4,136","          2.91","5,714","6,325","          0.90"
"서울특별시 서초구 반포1동(1165056000)","32,608","14,389","          2.27","15,736","16,872","          0.93"
"서울특별시 서초구 반포2동(1165057000)","16,159","5,123","          3.15","7,717","8,442","          0.91"
